"Id","channelId","Creation_Timestamp","Prediction","textDisplay","Update_Timestamp","videoId"
"251","UCERm5yFZ1SptUEU4wZ2vJvw","2024-02-12 16:35:01","awkwardness","oh shut up…","2024-02-12 17:10:47","ufrFCjERMDc"
"187","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:53","interest","so :.train full range of motion .front delts take over.you have to start with the shoulders in your training day.stretch your traps to minimise there activation .progressive overload and keep track of the weight load.training volume ( doing more sets 12 to 15).consume enough calories without going too crazy on it.eat enough proteins of course","2024-02-12 17:11:24","c3wEEdD8tWc"
"154","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:49","interest","so what’s the training schedule per week?","2024-02-12 17:11:36","c3wEEdD8tWc"
"7","UCL5PX6xQ0KBim6eQfDU74Qw","2024-02-12 16:34:31","interest","nice vid :) could you improve your audio?","2024-02-12 17:11:47","r8MLGFbOhYM"
"115","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:44","interest","low reps are for high reps and your using a weight you could handle whatever you were lifting at 10 to 12 reps when you go up in weight go down in reps and build your way back up","2024-02-12 17:12:07","c3wEEdD8tWc"
"512","UCxE5jEls-T0QtlTHT8lI1lw","2024-02-12 16:35:33","negative","""this song really have meaning, remind me of aomeone in my past. and make me sad again and again""","2024-02-12 17:12:22","ZQFmRXgeR-s"
"286","UCERm5yFZ1SptUEU4wZ2vJvw","2024-02-12 16:35:05","amusement","""i’m guessing the people who were checked didn’t happen to be baseball players, because our arms go way beyond 60 degrees haha""","2024-02-12 17:12:38","ufrFCjERMDc"
"361","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:14","positive","you are a very good data analyst","2024-02-12 17:12:48","ryZt5pc2O5s"
"380","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:17","interest","i got nearly 2000 subscribers in my first four weeks from following the advice in this video","2024-02-12 17:13:02","ryZt5pc2O5s"
"526","UCxE5jEls-T0QtlTHT8lI1lw","2024-02-12 16:35:35","relief","i was sad at first but after hearing this song i calmed down","2024-02-12 17:13:14","ZQFmRXgeR-s"
"117","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:44","negative","yes but full motion cause injuries too better not full motion","2024-02-12 17:13:25","c3wEEdD8tWc"
"401","UCJ5v_MCY6GNUBTO8-D3XoAg","2024-02-12 16:35:19","awkwardness","his head is so much bigger fron the juice..","2024-02-12 17:13:37","58PpN0_VzQg"
"554","UCxE5jEls-T0QtlTHT8lI1lw","2024-02-12 16:35:38","nostalgia","""just imagining if my ex thinks the same, though it's going to be a year after our breakup, i found a better guy, and yesss i am happier than i was with you, but i still miss you sometimes""","2024-02-12 17:14:00","ZQFmRXgeR-s"
"47","UCL5PX6xQ0KBim6eQfDU74Qw","2024-02-12 16:34:36","positive","rubber duck debugging all the way baby!","2024-02-12 17:14:11","r8MLGFbOhYM"
"184","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:53","awkwardness","""i injured myself today while doing shoulders, i lifted too much""","2024-02-12 17:14:22","c3wEEdD8tWc"
"403","UCJ5v_MCY6GNUBTO8-D3XoAg","2024-02-12 16:35:20","negative","the bottom of egyptian rule of lost of godsest empress","2024-02-12 17:14:35","58PpN0_VzQg"
"304","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:07","appreciation of beauty","hey if you need help im here just let me know yall","2024-02-12 17:14:46","ryZt5pc2O5s"
"156","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:49","positive","such a great video","2024-02-12 17:14:56","c3wEEdD8tWc"
"122","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:45","negative","i don't do reps i just stop when i'm tired","2024-02-12 17:15:07","c3wEEdD8tWc"
"273","UCERm5yFZ1SptUEU4wZ2vJvw","2024-02-12 16:35:04","positive","experience = the best teacher","2024-02-12 17:15:17","ufrFCjERMDc"
"513","UCxE5jEls-T0QtlTHT8lI1lw","2024-02-12 16:35:33","sadness","""i will always be waiting , i know i messed it up the first time but i was scared but know u never left my heart and never will ..... (you won't probably even see this , sad thing is this comment is probably the closest you would know how much i love you)""","2024-02-12 17:15:48","ZQFmRXgeR-s"
"333","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:11","interest","i'm not monetized yet - my long form videos still need work for views but the shorts have enabled me to at least get a descent amount of subs. focusing on disney content. i also learned that crossing over from shorts to your long form vids doesn't seem to be a thing.","2024-02-12 17:16:19","ryZt5pc2O5s"
"145","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:48","interest","pull ups","2024-02-12 17:16:28","c3wEEdD8tWc"
"195","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:54","negative","i hate the way u talk","2024-02-12 17:16:39","c3wEEdD8tWc"
"501","UCxE5jEls-T0QtlTHT8lI1lw","2024-02-12 16:35:32","interest","ppl who's waching 2024","2024-02-12 17:16:49","ZQFmRXgeR-s"
"359","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:14","negative","my shorts allways drop of at ten thousand. is there eneyone that can have a look at it and tell me what's happening. be very much appreciated","2024-02-12 17:17:06","ryZt5pc2O5s"
"395","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:19","negative","i need to study more!","2024-02-12 17:17:17","ryZt5pc2O5s"
"256","UCERm5yFZ1SptUEU4wZ2vJvw","2024-02-12 16:35:01","interest","yup","2024-02-12 17:17:26","ufrFCjERMDc"
"130","UC0CRYvGlWGlsGxBNgvkUbAg","2024-02-12 16:34:46","confusion","""i need to ask this because i´m starting to think that i do something wrong here, so: 9-10 reps or 9-15 reps ( until failur with heavy loads ) is more benefitial then doing 40-50 reps with lighter weights?? ó__ò the issue i have is that my muscles wont get bigger, even after a workout that took 2 - 3 hours. . .""","2024-02-12 17:18:05","c3wEEdD8tWc"
"386","UCR5k7bm0qgpP7-QX1uIx7cQ","2024-02-12 16:35:18","negative","""video with money ammount in thumbnail + claiming something that gives so much money and nobody knows but its explained in the video + hiding some metrics (normally earnings) = fake clickbait.thats the secret to """"beat the algorythm"""", clickbait and lie to get views.hope youtube  will do something soon and start to ban this kind of channels that dont give anything good to the platform.""","2024-02-12 17:18:44","ryZt5pc2O5s"
"573","UCxE5jEls-T0QtlTHT8lI1lw","2024-02-12 16:35:41","appreciation of beauty","""lyricswe broke up a month agoyour friends are mine, you know, i knowyou've moved on, found someone newone more girl who brings out the better in youand i thought my heart was detachedfrom all the sunlight of our pastbut she's so sweet, she's so prettydoes she mean you forgot about me?oh, i hope you're happybut not like how you were with mei'm selfish, i know, i can't let you goso find someone great, but don't find no one betteri hope you're happy, but don't be happierand do you tell her she's the most beautiful girl you've ever seen?an eternal love bullshit you know you'll never meanremember when i believed you meant it when you said it first to me?and now i'm pickin' her apartlike cuttin' her down will make you miss my wretched heartbut she's beautiful, she looks kindshe probably gives you butterfliesi hope you're happybut not like how you were with mei'm selfish, i know, i can't let you goso find someone great but don't find no one betteri hope you're happyi wish you all the best, reallysay you love her, baby, just not like you loved meand think of me fondly when your hands are on heri hope you're happy, but don't be happierooh, ooh-ooh, ooh-oohooh-oohi hope you're happyjust not like how you were with mei'm selfish, i know, can't let you goso find someone great, but don't find no one betteri hope you're happy, but don't be happier""","2024-02-12 17:20:55","ZQFmRXgeR-s"
